data_entrada,placa,marca,modelo,ano,km,valor_fipe,valor_venda,valor_compra,renavam
13/05/2023,ATZ-4467,VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,"2022/2023
","42.663 km
","R$ 120.669,00","R$ 95.662,00",R$ 112.990,6047639254.0
18/02/2023,RKW-6586,VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,"2022/2023
 ","42.663 km
 ","R$ 117.556,00","R$ 95.396,00",R$ 112.990,21649449073.0
06/04/2023,MER-0422,VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,2022/2023 ,47.610 km ,"R$ 109.243,00","R$ 96.784,00",R$ 112.990,93982661258.0
07/01/2023,ZLL-6447,CHEVROLET,TRACKER PREMIER 1.2,"2022/2023
 ","52.938 km
 ","R$ 111.255,00","R$ 97.013,00",R$ 118.990,65366635956.0
22/02/2023,SKQ-7548,CHEVROLET,TRACKER PREMIER 1.2,"2022/2023
 ","52.938 km
 ","R$ 122.535,00","R$ 96.518,00",R$ 118.990,93336748483.0
23/04/2023,JOC-6066,CHEVROLET,TRACKER PREMIER 1.2,"2022/2023
","52.938 km
","R$ 119.042,00","R$ 95.084,00",R$ 118.990,87323395081.0
23/01/2023,LAE-7590,CHEVROLET,TRACKER PREMIER 1.2,"2022/2023
 ","52.938 km
 ","R$ 110.849,00","R$ 96.007,00",R$ 118.990,82178472791.0
01/03/2023,GDE-3183,CHEVROLET,TRACKER PREMIER 1.2,2022/2023,52.938 km,"R$ 118.824,00","R$ 98.961,00",R$ 118.990,42552548174.0
13/01/2023,DNS-7769,CHEVROLET,TRACKER PREMIER 1.2,"2022/2023
 ","52.938 km
 ","R$ 125.093,00","R$ 97.638,00",R$ 118.990,96797856425.0
28/10/2023,AQR-7297,VOLKSWAGEN,T-CROSS HIGHLINE 1.4,"2020/2021
 ","42.395 km
 ","R$ 110.412,00","R$ 96.655,00",R$ 119.490,68462941727.0
05/08/2023,FBJ-9284,VOLKSWAGEN,T-CROSS HIGHLINE 1.4,"2020/2021
 ","42.395 km
 ","R$ 110.338,00","R$ 95.230,00",R$ 119.490,4795347382.0
17/02/2023,SAQ-1433,VOLKSWAGEN,T-CROSS HIGHLINE 1.4,2020/2021,42.395 km,"R$ 118.183,00","R$ 99.899,00",R$ 119.490,46224216729.0
30/07/2023,MNL-4670,VOLKSWAGEN,T-CROSS HIGHLINE 1.4,2020/2021 ,42.395 km ,"R$ 110.126,00","R$ 98.248,00",R$ 119.490,61405816254.0
15/04/2023,BIH-6318,VOLKSWAGEN,T-CROSS HIGHLINE 1.4,"2020/2021
 ","42.395 km
 ","R$ 129.366,00","R$ 98.933,00",R$ 119.490,38958069658.0
31/12/2023,MLG-2171,VOLKSWAGEN,T-CROSS HIGHLINE 1.4,"2020/2021
 ","42.395 km
 ","R$ 115.952,00","R$ 98.242,00",R$ 119.490,70107877092.0
26/04/2023,BAT-1496,VOLKSWAGEN,T-CROSS HIGHLINE 1.4,"2020/2021
","42.395 km
","R$ 115.977,00","R$ 95.761,00",R$ 119.490,27175694582.0
05/10/2023,ETB-4459,JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,"2020/2021
 ","35.874 km
 ","R$ 169.365,00","R$ 150.843,00",R$ 122.190,68235488261.0
14/05/2023,DJR-6714,JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,"2020/2021
 ","35.874 km
 ","R$ 161.408,00","R$ 18.525,00",R$ 122.190,35353594604.0
17/11/2023,YOU-4281,JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,"2020/2021
","35.874 km
","R$ 150.197,00","R$ 55.618,00",R$ 122.190,2319887133.0
05/02/2023,GDI-4416,JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,2020/2021 ,35.874 km ,"R$ 162.026,00","R$ 69.819,00",R$ 122.190,69472209932.0
09/04/2023,YBI-4331,JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,"2020/2021
 ","35.874 km
 ","R$ 175.004,00","R$ 151.327,00",R$ 122.190,38031847383.0
10/10/2023,HSA-7290,JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,"2020/2021
 ","35.874 km
 ","R$ 139.978,00","R$ 29.958,00",R$ 122.190,4642305399.0
13/03/2023,FZZ-0374,JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,2020/2021,35.874 km,"R$ 171.926,00","R$ 10.516,00",R$ 122.190,13901382656.0
20/03/2023,AUD-8721,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,"2019/2020
 ","49.039 km
 ","R$ 160.106,00","R$ 12.224,00",R$ 122.900,83754466552.0
04/01/2023,QUT-4880,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,2019/2020,49.039 km,"R$ 167.542,00","R$ 128.950,00",R$ 122.900,14023976050.0
03/06/2023,IJX-5441,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,"2019/2020
","49.039 km
","R$ 192.255,00","R$ 92.211,00",R$ 122.900,45095795420.0
30/12/2023,DNG-7580,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,"2019/2020
 ","49.039 km
 ","R$ 145.892,00","R$ 41.021,00",R$ 122.900,36716583672.0
28/04/2023,SDX-6178,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,2019/2020 ,49.039 km ,"R$ 148.220,00","R$ 147.662,00",R$ 122.900,84828846073.0
10/08/2023,WJH-3700,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,"2019/2020
 ","49.039 km
 ","R$ 144.934,00","R$ 14.910,00",R$ 122.900,55680554294.0
06/09/2023,RWQ-5694,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,"2019/2020
 ","49.039 km
 ","R$ 149.573,00","R$ 58.161,00",R$ 122.900,92788324527.0
12/05/2023,XBT-5887,TOYOTA,COROLLA CROSS XR FLEX 2.0 4P,2021/2022 ,24.954 km ,"R$ 179.074,00","R$ 141.388,00",R$ 124.190,21182434218.0
20/08/2023,SDZ-2113,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,2022/2022,23.745 km,"R$ 177.014,00","R$ 82.113,00",R$ 124.390,83478919623.0
02/05/2023,BTE-4280,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2022
 ","23.745 km
 ","R$ 185.528,00","R$ 70.341,00",R$ 124.390,91700955166.0
03/02/2023,OYK-8015,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2022
 ","23.745 km
 ","R$ 198.163,00","R$ 171.783,00",R$ 124.390,43647392179.0
27/10/2023,SLH-8861,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,2022/2022 ,23.745 km ,"R$ 185.389,00","R$ 129.124,00",R$ 124.390,4254314427.0
02/07/2023,EDN-7712,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2022
","23.745 km
","R$ 173.679,00","R$ 131.455,00",R$ 124.390,71099038648.0
31/07/2023,ALG-5741,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2022
 ","23.745 km
 ","R$ 191.309,00","R$ 56.359,00",R$ 124.390,43447351399.0
23/10/2023,QCJ-3753,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2022
 ","23.745 km
 ","R$ 194.848,00","R$ 50.644,00",R$ 124.390,55658912566.0
12/08/2023,TRP-5093,TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,"2021/2022
 ","39.921 km
 ","R$ 137.891,00","R$ 39.307,00",R$ 125.990,56649727898.0
12/12/2023,WJE-3284,TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,"2021/2022
 ","39.921 km
 ","R$ 161.470,00","R$ 43.291,00",R$ 125.990,24712262450.0
30/03/2023,QUI-1627,TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,2021/2022 ,39.921 km ,"R$ 169.312,00","R$ 89.831,00",R$ 125.990,29819260779.0
04/03/2023,BEC-9002,TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,"2021/2022
","39.921 km
","R$ 192.426,00","R$ 96.369,00",R$ 125.990,66884818791.0
04/03/2023,LWD-2291,TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,2021/2022,39.921 km,"R$ 187.343,00","R$ 117.702,00",R$ 125.990,22024520643.0
26/05/2023,VNX-5103,TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,"2021/2022
 ","39.921 km
 ","R$ 159.640,00","R$ 49.978,00",R$ 125.990,76687398368.0
26/06/2023,CSL-0727,TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,"2021/2022
 ","39.921 km
 ","R$ 173.070,00","R$ 38.005,00",R$ 125.990,19518376119.0
19/02/2023,KMA-0036,VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,"2019/2019
 ","70.813 km
 ","R$ 181.775,00","R$ 110.172,00",R$ 133.990,80926085133.0
25/07/2023,YQW-6686,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,2022/2023 ,3.896 km ,"R$ 195.479,00","R$ 35.123,00",R$ 133.990,12149150849.0
16/04/2023,UZI-5435,VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,2019/2019,70.813 km,"R$ 191.504,00","R$ 88.224,00",R$ 133.990,84274055965.0
06/06/2023,HJH-3399,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,2022/2023,3.896 km,"R$ 181.014,00","R$ 61.242,00",R$ 133.990,88153422169.0
29/08/2023,GLN-7845,VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,2019/2019 ,70.813 km ,"R$ 145.932,00","R$ 49.363,00",R$ 133.990,18844443037.0
18/08/2023,SGC-1146,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2023
 ","3.896 km
 ","R$ 161.829,00","R$ 37.858,00",R$ 133.990,37576910076.0
25/10/2023,SOB-5584,VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,"2019/2019
 ","70.813 km
 ","R$ 144.630,00","R$ 172.692,00",R$ 133.990,52737548072.0
24/03/2023,ZXM-5433,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2023
 ","3.896 km
 ","R$ 136.243,00","R$ 33.440,00",R$ 133.990,76931261156.0
10/05/2023,LRR-4206,VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,"2019/2019
 ","70.813 km
 ","R$ 183.556,00","R$ 121.257,00",R$ 133.990,85087359179.0
25/04/2023,NQW-0537,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2023
 ","3.896 km
 ","R$ 171.613,00","R$ 167.677,00",R$ 133.990,14691555980.0
13/01/2023,XZY-8203,VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,"2019/2019
","70.813 km
","R$ 142.449,00","R$ 136.913,00",R$ 133.990,88106742379.0
27/12/2023,RAS-3323,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2023
","3.896 km
","R$ 174.122,00","R$ 60.656,00",R$ 133.990,51995030402.0
10/02/2023,ESI-0727,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2023
 ","3.896 km
 ","R$ 170.740,00","R$ 124.210,00",R$ 133.990,57689159973.0
13/08/2023,LWQ-3247,VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,"2019/2019
 ","70.813 km
 ","R$ 182.376,00","R$ 131.564,00",R$ 133.990,58987123321.0
13/06/2023,GQI-8855,FIAT,TORO FREEDOM 1.3,2022/2023 ,45.812 km ,"R$ 160.433,00","R$ 129.280,00",R$ 134.290,59377505343.0
22/05/2023,MOC-6847,MITSUBISHI,ECLIPSE CROSS GLS 1.5,2022/2023,39.461 km,"R$ 182.804,00","R$ 152.579,00",R$ 135.690,91085380431.0
07/03/2023,DXP-5254,MITSUBISHI,ECLIPSE CROSS GLS 1.5,2022/2023 ,39.461 km ,"R$ 199.297,00","R$ 170.029,00",R$ 135.690,59054719760.0
26/01/2023,AJX-1411,CHERY,TIGGO 8 TXS 7L 1.6,"2021/2022
 ","49.598 km
 ","R$ 151.687,00","R$ 40.279,00",R$ 139.990,93312966412.0
27/06/2023,DLO-5472,CHERY,TIGGO 8 TXS 7L 1.6,"2021/2022
 ","49.598 km
 ","R$ 199.507,00","R$ 130.335,00",R$ 139.990,9773082973.0
24/03/2023,OEH-9209,CHERY,TIGGO 8 TXS 7L 1.6,"2021/2022
 ","49.598 km
 ","R$ 180.053,00","R$ 166.396,00",R$ 139.990,41169839708.0
22/04/2023,XSX-5526,CHERY,TIGGO 8 TXS 7L 1.6,"2021/2022
 ","49.598 km
 ","R$ 194.768,00","R$ 38.507,00",R$ 139.990,86634270238.0
30/10/2023,TQB-2514,CHERY,TIGGO 5X PRO 1.5,"2022/2023
 ","16.866 km
 ","R$ 191.996,00","R$ 78.610,00",R$ 146.090,87218533203.0
05/07/2023,WRL-6058,CHERY,TIGGO 5X PRO 1.5,"2022/2023
 ","16.866 km
 ","R$ 173.968,00","R$ 147.449,00",R$ 146.090,20153321204.0
12/01/2023,XEP-1241,CHERY,TIGGO 5X PRO 1.5,2022/2023 ,16.866 km ,"R$ 193.638,00","R$ 18.546,00",R$ 146.090,12127985943.0
21/09/2023,JDC-3034,CHERY,TIGGO 5X PRO 1.5,"2022/2023
 ","16.866 km
 ","R$ 150.923,00","R$ 127.720,00",R$ 146.090,47194664010.0
09/11/2023,CWA-8492,CHERY,TIGGO 5X PRO 1.5,"2022/2023
","16.866 km
","R$ 179.574,00","R$ 73.202,00",R$ 146.090,55133238781.0
06/04/2023,GNM-6449,CHERY,TIGGO 5X PRO 1.5,"2022/2023
 ","16.866 km
 ","R$ 153.505,00","R$ 87.713,00",R$ 146.090,34103537038.0
27/07/2023,LTG-9173,CHERY,TIGGO 5X PRO 1.5,2022/2023,16.866 km,"R$ 165.203,00","R$ 102.995,00",R$ 146.090,78493301163.0
08/12/2023,AYL-4076,MITSUBISHI,ECLIPSE CROSS HPE 1.5,"2022/2023
 ","47.270 km
 ","R$ 164.154,00","R$ 59.565,00",R$ 146.990,11183594772.0
16/01/2023,XSG-9597,MITSUBISHI,ECLIPSE CROSS HPE 1.5,"2022/2023
","47.270 km
","R$ 168.164,00","R$ 41.815,00",R$ 146.990,33569696300.0
15/06/2023,NVF-4874,MITSUBISHI,ECLIPSE CROSS HPE 1.5,"2022/2023
 ","47.270 km
 ","R$ 187.715,00","R$ 126.396,00",R$ 146.990,53322527433.0
01/12/2023,PKE-1339,MITSUBISHI,ECLIPSE CROSS HPE 1.5,2022/2023,47.270 km,"R$ 195.292,00","R$ 40.184,00",R$ 146.990,78466764472.0
03/06/2023,RPV-2949,MITSUBISHI,ECLIPSE CROSS HPE 1.5,"2022/2023
 ","47.270 km
 ","R$ 133.485,00","R$ 27.714,00",R$ 146.990,76207085927.0
02/10/2023,MJT-1094,MITSUBISHI,ECLIPSE CROSS HPE 1.5,"2022/2023
 ","47.270 km
 ","R$ 191.313,00","R$ 36.838,00",R$ 146.990,85980787470.0
22/07/2023,LYG-7568,MITSUBISHI,ECLIPSE CROSS HPE 1.5,2022/2023 ,47.270 km ,"R$ 132.544,00","R$ 71.692,00",R$ 146.990,70019209934.0
09/07/2023,SZO-8940,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,"2021/2022
 ","25.918 km
 ","R$ 185.994,00","R$ 82.038,00",R$ 155.190,18425388752.0
27/11/2023,WIN-1123,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,2021/2022,25.918 km,"R$ 164.084,00","R$ 165.394,00",R$ 155.190,67680477929.0
06/08/2023,ROT-6396,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,"2021/2022
 ","25.918 km
 ","R$ 158.818,00","R$ 118.115,00",R$ 155.190,75104525674.0
03/09/2023,FIZ-6861,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,"2021/2022
 ","25.918 km
 ","R$ 146.546,00","R$ 152.982,00",R$ 155.190,21164445048.0
29/09/2023,XWP-7704,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,2021/2022 ,25.918 km ,"R$ 188.134,00","R$ 25.063,00",R$ 155.190,55700164977.0
08/08/2023,ZRG-0158,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,"2021/2022
","25.918 km
","R$ 172.664,00","R$ 115.029,00",R$ 155.190,68214626643.0
25/03/2023,JBT-3906,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,"2021/2022
 ","25.918 km
 ","R$ 150.333,00","R$ 17.936,00",R$ 155.190,9400490117.0
22/04/2023,BEI-8443,CHERY,TIGGO 8 TXS 7L 1.6,2022/2023 ,9.433 km ,"R$ 178.992,00","R$ 150.309,00",R$ 179.590,99917464499.0
04/04/2023,CRU-9322,CHERY,TIGGO 8 TXS 7L 1.6,"2022/2023
 ","9.433 km
 ","R$ 157.894,00","R$ 106.688,00",R$ 179.590,18489452383.0
21/05/2023,GQR-5204,CHERY,TIGGO 8 TXS 7L 1.6,"2022/2023
 ","9.433 km
 ","R$ 153.663,00","R$ 23.147,00",R$ 179.590,72371332784.0
07/12/2023,HVY-3310,CHERY,TIGGO 8 TXS 7L 1.6,"2022/2023
 ","9.433 km
 ","R$ 168.763,00","R$ 131.923,00",R$ 179.590,30714862057.0
20/06/2023,ZPV-3255,CHERY,TIGGO 8 TXS 7L 1.6,"2022/2023
","9.433 km
","R$ 160.120,00","R$ 146.020,00",R$ 179.590,24910505114.0
06/07/2023,PCW-4282,CHERY,TIGGO 8 TXS 7L 1.6,2022/2023,9.433 km,"R$ 161.040,00","R$ 108.557,00",R$ 179.590,77097263386.0
29/11/2023,MJO-0908,CHERY,TIGGO 8 TXS 7L 1.6,"2022/2023
 ","9.433 km
 ","R$ 175.561,00","R$ 132.377,00",R$ 179.590,67684159415.0
21/05/2023,YOJ-5780,VOLVO,XC40 T4 MOMENTUM 2.0,"2020/2021
 ","34.307 km
 ","R$ 167.200,00","R$ 92.134,00",R$ 205.390,63173230755.0
29/12/2023,BGR-5948,VOLVO,XC40 T4 MOMENTUM 2.0,2020/2021 ,34.307 km ,"R$ 213.608,00","R$ 195.136,00",R$ 205.390,27065436152.0
29/05/2023,TEN-8829,VOLVO,XC40 T4 MOMENTUM 2.0,"2020/2021
 ","34.307 km
 ","R$ 210.666,00","R$ 178.873,00",R$ 205.390,8611825230.0
16/12/2023,MTN-8428,VOLVO,XC40 T4 MOMENTUM 2.0,2020/2021,34.307 km,"R$ 210.948,00","R$ 177.059,00",R$ 205.390,51335057908.0
01/04/2023,SIN-5517,VOLVO,XC40 T4 MOMENTUM 2.0,"2020/2021
 ","34.307 km
 ","R$ 219.938,00","R$ 198.852,00",R$ 205.390,99464517971.0
23/11/2023,BDY-0261,VOLVO,XC40 T4 MOMENTUM 2.0,"2020/2021
","34.307 km
","R$ 211.916,00","R$ 197.919,00",R$ 205.390,51709805905.0
07/02/2023,SGS-9312,VOLVO,XC40 T4 MOMENTUM 2.0,"2020/2021
 ","34.307 km
 ","R$ 67.869,00","R$ 62.005,00",R$ 205.390,70400682463.0
16/11/2023,SHO-7767,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","95.633 km
 ","R$ 72.282,00","R$ 54.604,00",R$ 47.990,21410866922.0
08/02/2023,XJR-5175,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","95.633 km
 ","R$ 72.747,00","R$ 60.768,00",R$ 47.990,631083846.0
14/09/2023,GDI-1857,FIAT,UNO ATTRACTIVE EVO 1.0 4P,2020/2020,95.633 km,"R$ 70.340,00","R$ 64.112,00",R$ 47.990,3300703642.0
30/05/2023,DPT-1559,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
","95.633 km
","R$ 68.199,00","R$ 50.130,00",R$ 47.990,92702512438.0
23/10/2023,NZH-9603,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","95.633 km
 ","R$ 69.796,00","R$ 53.158,00",R$ 47.990,69478695734.0
17/11/2023,FIM-1040,FIAT,UNO ATTRACTIVE EVO 1.0 4P,2020/2020 ,95.633 km ,"R$ 65.648,00","R$ 61.311,00",R$ 47.990,83268927630.0
29/04/2023,NWI-1500,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","95.633 km
 ","R$ 69.755,00","R$ 63.396,00",R$ 47.990,52379171851.0
05/10/2023,CQJ-7811,FIAT,MOBI LIKE 1.0,2021/2022 ,76.576 km ,"R$ 73.788,00","R$ 57.324,00",R$ 49.990,52888407638.0
