,data_entrada,marca,modelo,ano,km,valor_fipe,valor_venda,valor_compra,renavam
32,05/12/2023,VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,"2022/2023
 ","42.663 km
 ","R$ 109.125,00","R$ 97.523,00",R$ 112.990,34643456621.0
33,23/05/2023,VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,2022/2023,42.663 km,"R$ 118.115,00","R$ 96.555,00",R$ 112.990,12524008447.0
34,27/11/2023,VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,"2022/2023
 ","42.663 km
 ","R$ 119.937,00","R$ 95.175,00",R$ 112.990,81328627608.0
35,13/05/2023,VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,"2022/2023
","42.663 km
","R$ 120.669,00","R$ 95.662,00",R$ 112.990,6047639254.0
36,18/02/2023,VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,"2022/2023
 ","42.663 km
 ","R$ 117.556,00","R$ 95.396,00",R$ 112.990,21649449073.0
37,06/04/2023,VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,2022/2023 ,47.610 km ,"R$ 109.243,00","R$ 96.784,00",R$ 112.990,93982661258.0
38,07/01/2023,CHEVROLET,TRACKER PREMIER 1.2,"2022/2023
 ","52.938 km
 ","R$ 111.255,00","R$ 97.013,00",R$ 118.990,65366635956.0
39,22/02/2023,CHEVROLET,TRACKER PREMIER 1.2,"2022/2023
 ","52.938 km
 ","R$ 122.535,00","R$ 96.518,00",R$ 118.990,93336748483.0
40,23/04/2023,CHEVROLET,TRACKER PREMIER 1.2,"2022/2023
","52.938 km
","R$ 119.042,00","R$ 95.084,00",R$ 118.990,87323395081.0
41,23/01/2023,CHEVROLET,TRACKER PREMIER 1.2,"2022/2023
 ","52.938 km
 ","R$ 110.849,00","R$ 96.007,00",R$ 118.990,82178472791.0
42,01/03/2023,CHEVROLET,TRACKER PREMIER 1.2,2022/2023,52.938 km,"R$ 118.824,00","R$ 98.961,00",R$ 118.990,42552548174.0
43,13/01/2023,CHEVROLET,TRACKER PREMIER 1.2,"2022/2023
 ","52.938 km
 ","R$ 125.093,00","R$ 97.638,00",R$ 118.990,96797856425.0
44,28/10/2023,VOLKSWAGEN,T-CROSS HIGHLINE 1.4,"2020/2021
 ","42.395 km
 ","R$ 110.412,00","R$ 96.655,00",R$ 119.490,68462941727.0
45,05/08/2023,VOLKSWAGEN,T-CROSS HIGHLINE 1.4,"2020/2021
 ","42.395 km
 ","R$ 110.338,00","R$ 95.230,00",R$ 119.490,4795347382.0
46,17/02/2023,VOLKSWAGEN,T-CROSS HIGHLINE 1.4,2020/2021,42.395 km,"R$ 118.183,00","R$ 99.899,00",R$ 119.490,46224216729.0
47,30/07/2023,VOLKSWAGEN,T-CROSS HIGHLINE 1.4,2020/2021 ,42.395 km ,"R$ 110.126,00","R$ 98.248,00",R$ 119.490,61405816254.0
48,15/04/2023,VOLKSWAGEN,T-CROSS HIGHLINE 1.4,"2020/2021
 ","42.395 km
 ","R$ 129.366,00","R$ 98.933,00",R$ 119.490,38958069658.0
49,31/12/2023,VOLKSWAGEN,T-CROSS HIGHLINE 1.4,"2020/2021
 ","42.395 km
 ","R$ 115.952,00","R$ 98.242,00",R$ 119.490,70107877092.0
50,26/04/2023,VOLKSWAGEN,T-CROSS HIGHLINE 1.4,"2020/2021
","42.395 km
","R$ 115.977,00","R$ 95.761,00",R$ 119.490,27175694582.0
51,05/10/2023,JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,"2020/2021
 ","35.874 km
 ","R$ 169.365,00","R$ 150.843,00",R$ 122.190,68235488261.0
52,14/05/2023,JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,"2020/2021
 ","35.874 km
 ","R$ 161.408,00","R$ 18.525,00",R$ 122.190,35353594604.0
53,17/11/2023,JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,"2020/2021
","35.874 km
","R$ 150.197,00","R$ 55.618,00",R$ 122.190,2319887133.0
54,05/02/2023,JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,2020/2021 ,35.874 km ,"R$ 162.026,00","R$ 69.819,00",R$ 122.190,69472209932.0
55,09/04/2023,JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,"2020/2021
 ","35.874 km
 ","R$ 175.004,00","R$ 151.327,00",R$ 122.190,38031847383.0
56,10/10/2023,JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,"2020/2021
 ","35.874 km
 ","R$ 139.978,00","R$ 29.958,00",R$ 122.190,4642305399.0
57,13/03/2023,JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,2020/2021,35.874 km,"R$ 171.926,00","R$ 10.516,00",R$ 122.190,13901382656.0
58,20/03/2023,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,"2019/2020
 ","49.039 km
 ","R$ 160.106,00","R$ 12.224,00",R$ 122.900,83754466552.0
59,04/01/2023,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,2019/2020,49.039 km,"R$ 167.542,00","R$ 128.950,00",R$ 122.900,14023976050.0
60,03/06/2023,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,"2019/2020
","49.039 km
","R$ 192.255,00","R$ 92.211,00",R$ 122.900,45095795420.0
61,30/12/2023,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,"2019/2020
 ","49.039 km
 ","R$ 145.892,00","R$ 41.021,00",R$ 122.900,36716583672.0
62,28/04/2023,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,2019/2020 ,49.039 km ,"R$ 148.220,00","R$ 147.662,00",R$ 122.900,84828846073.0
63,10/08/2023,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,"2019/2020
 ","49.039 km
 ","R$ 144.934,00","R$ 14.910,00",R$ 122.900,55680554294.0
64,06/09/2023,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,"2019/2020
 ","49.039 km
 ","R$ 149.573,00","R$ 58.161,00",R$ 122.900,92788324527.0
65,12/05/2023,TOYOTA,COROLLA CROSS XR FLEX 2.0 4P,2021/2022 ,24.954 km ,"R$ 179.074,00","R$ 141.388,00",R$ 124.190,21182434218.0
66,20/08/2023,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,2022/2022,23.745 km,"R$ 177.014,00","R$ 82.113,00",R$ 124.390,83478919623.0
67,02/05/2023,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2022
 ","23.745 km
 ","R$ 185.528,00","R$ 70.341,00",R$ 124.390,91700955166.0
68,03/02/2023,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2022
 ","23.745 km
 ","R$ 198.163,00","R$ 171.783,00",R$ 124.390,43647392179.0
69,27/10/2023,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,2022/2022 ,23.745 km ,"R$ 185.389,00","R$ 129.124,00",R$ 124.390,4254314427.0
70,02/07/2023,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2022
","23.745 km
","R$ 173.679,00","R$ 131.455,00",R$ 124.390,71099038648.0
71,31/07/2023,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2022
 ","23.745 km
 ","R$ 191.309,00","R$ 56.359,00",R$ 124.390,43447351399.0
72,23/10/2023,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2022
 ","23.745 km
 ","R$ 194.848,00","R$ 50.644,00",R$ 124.390,55658912566.0
73,12/08/2023,TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,"2021/2022
 ","39.921 km
 ","R$ 137.891,00","R$ 39.307,00",R$ 125.990,56649727898.0
74,12/12/2023,TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,"2021/2022
 ","39.921 km
 ","R$ 161.470,00","R$ 43.291,00",R$ 125.990,24712262450.0
75,30/03/2023,TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,2021/2022 ,39.921 km ,"R$ 169.312,00","R$ 89.831,00",R$ 125.990,29819260779.0
76,04/03/2023,TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,"2021/2022
","39.921 km
","R$ 192.426,00","R$ 96.369,00",R$ 125.990,66884818791.0
77,04/03/2023,TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,2021/2022,39.921 km,"R$ 187.343,00","R$ 117.702,00",R$ 125.990,22024520643.0
78,26/05/2023,TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,"2021/2022
 ","39.921 km
 ","R$ 159.640,00","R$ 49.978,00",R$ 125.990,76687398368.0
79,26/06/2023,TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,"2021/2022
 ","39.921 km
 ","R$ 173.070,00","R$ 38.005,00",R$ 125.990,19518376119.0
80,19/02/2023,VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,"2019/2019
 ","70.813 km
 ","R$ 181.775,00","R$ 110.172,00",R$ 133.990,80926085133.0
81,25/07/2023,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,2022/2023 ,3.896 km ,"R$ 195.479,00","R$ 35.123,00",R$ 133.990,12149150849.0
82,16/04/2023,VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,2019/2019,70.813 km,"R$ 191.504,00","R$ 88.224,00",R$ 133.990,84274055965.0
83,06/06/2023,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,2022/2023,3.896 km,"R$ 181.014,00","R$ 61.242,00",R$ 133.990,88153422169.0
84,29/08/2023,VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,2019/2019 ,70.813 km ,"R$ 145.932,00","R$ 49.363,00",R$ 133.990,18844443037.0
85,18/08/2023,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2023
 ","3.896 km
 ","R$ 161.829,00","R$ 37.858,00",R$ 133.990,37576910076.0
86,25/10/2023,VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,"2019/2019
 ","70.813 km
 ","R$ 144.630,00","R$ 172.692,00",R$ 133.990,52737548072.0
87,24/03/2023,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2023
 ","3.896 km
 ","R$ 136.243,00","R$ 33.440,00",R$ 133.990,76931261156.0
88,10/05/2023,VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,"2019/2019
 ","70.813 km
 ","R$ 183.556,00","R$ 121.257,00",R$ 133.990,85087359179.0
89,25/04/2023,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2023
 ","3.896 km
 ","R$ 171.613,00","R$ 167.677,00",R$ 133.990,14691555980.0
90,13/01/2023,VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,"2019/2019
","70.813 km
","R$ 142.449,00","R$ 136.913,00",R$ 133.990,88106742379.0
91,27/12/2023,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2023
","3.896 km
","R$ 174.122,00","R$ 60.656,00",R$ 133.990,51995030402.0
92,10/02/2023,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2023
 ","3.896 km
 ","R$ 170.740,00","R$ 124.210,00",R$ 133.990,57689159973.0
93,13/08/2023,VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,"2019/2019
 ","70.813 km
 ","R$ 182.376,00","R$ 131.564,00",R$ 133.990,58987123321.0
94,13/06/2023,FIAT,TORO FREEDOM 1.3,2022/2023 ,45.812 km ,"R$ 160.433,00","R$ 129.280,00",R$ 134.290,59377505343.0
95,22/05/2023,MITSUBISHI,ECLIPSE CROSS GLS 1.5,2022/2023,39.461 km,"R$ 182.804,00","R$ 152.579,00",R$ 135.690,91085380431.0
96,07/03/2023,MITSUBISHI,ECLIPSE CROSS GLS 1.5,2022/2023 ,39.461 km ,"R$ 199.297,00","R$ 170.029,00",R$ 135.690,59054719760.0
97,26/01/2023,CHERY,TIGGO 8 TXS 7L 1.6,"2021/2022
 ","49.598 km
 ","R$ 151.687,00","R$ 40.279,00",R$ 139.990,93312966412.0
98,27/06/2023,CHERY,TIGGO 8 TXS 7L 1.6,"2021/2022
 ","49.598 km
 ","R$ 199.507,00","R$ 130.335,00",R$ 139.990,9773082973.0
99,24/03/2023,CHERY,TIGGO 8 TXS 7L 1.6,"2021/2022
 ","49.598 km
 ","R$ 180.053,00","R$ 166.396,00",R$ 139.990,41169839708.0
100,22/04/2023,CHERY,TIGGO 8 TXS 7L 1.6,"2021/2022
 ","49.598 km
 ","R$ 194.768,00","R$ 38.507,00",R$ 139.990,86634270238.0
101,30/10/2023,CHERY,TIGGO 5X PRO 1.5,"2022/2023
 ","16.866 km
 ","R$ 191.996,00","R$ 78.610,00",R$ 146.090,87218533203.0
102,05/07/2023,CHERY,TIGGO 5X PRO 1.5,"2022/2023
 ","16.866 km
 ","R$ 173.968,00","R$ 147.449,00",R$ 146.090,20153321204.0
103,12/01/2023,CHERY,TIGGO 5X PRO 1.5,2022/2023 ,16.866 km ,"R$ 193.638,00","R$ 18.546,00",R$ 146.090,12127985943.0
104,21/09/2023,CHERY,TIGGO 5X PRO 1.5,"2022/2023
 ","16.866 km
 ","R$ 150.923,00","R$ 127.720,00",R$ 146.090,47194664010.0
105,09/11/2023,CHERY,TIGGO 5X PRO 1.5,"2022/2023
","16.866 km
","R$ 179.574,00","R$ 73.202,00",R$ 146.090,55133238781.0
106,06/04/2023,CHERY,TIGGO 5X PRO 1.5,"2022/2023
 ","16.866 km
 ","R$ 153.505,00","R$ 87.713,00",R$ 146.090,34103537038.0
107,27/07/2023,CHERY,TIGGO 5X PRO 1.5,2022/2023,16.866 km,"R$ 165.203,00","R$ 102.995,00",R$ 146.090,78493301163.0
108,08/12/2023,MITSUBISHI,ECLIPSE CROSS HPE 1.5,"2022/2023
 ","47.270 km
 ","R$ 164.154,00","R$ 59.565,00",R$ 146.990,11183594772.0
109,16/01/2023,MITSUBISHI,ECLIPSE CROSS HPE 1.5,"2022/2023
","47.270 km
","R$ 168.164,00","R$ 41.815,00",R$ 146.990,33569696300.0
110,15/06/2023,MITSUBISHI,ECLIPSE CROSS HPE 1.5,"2022/2023
 ","47.270 km
 ","R$ 187.715,00","R$ 126.396,00",R$ 146.990,53322527433.0
111,01/12/2023,MITSUBISHI,ECLIPSE CROSS HPE 1.5,2022/2023,47.270 km,"R$ 195.292,00","R$ 40.184,00",R$ 146.990,78466764472.0
112,03/06/2023,MITSUBISHI,ECLIPSE CROSS HPE 1.5,"2022/2023
 ","47.270 km
 ","R$ 133.485,00","R$ 27.714,00",R$ 146.990,76207085927.0
113,02/10/2023,MITSUBISHI,ECLIPSE CROSS HPE 1.5,"2022/2023
 ","47.270 km
 ","R$ 191.313,00","R$ 36.838,00",R$ 146.990,85980787470.0
114,22/07/2023,MITSUBISHI,ECLIPSE CROSS HPE 1.5,2022/2023 ,47.270 km ,"R$ 132.544,00","R$ 71.692,00",R$ 146.990,70019209934.0
115,09/07/2023,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,"2021/2022
 ","25.918 km
 ","R$ 185.994,00","R$ 82.038,00",R$ 155.190,18425388752.0
116,27/11/2023,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,2021/2022,25.918 km,"R$ 164.084,00","R$ 165.394,00",R$ 155.190,67680477929.0
117,06/08/2023,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,"2021/2022
 ","25.918 km
 ","R$ 158.818,00","R$ 118.115,00",R$ 155.190,75104525674.0
118,03/09/2023,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,"2021/2022
 ","25.918 km
 ","R$ 146.546,00","R$ 152.982,00",R$ 155.190,21164445048.0
119,29/09/2023,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,2021/2022 ,25.918 km ,"R$ 188.134,00","R$ 25.063,00",R$ 155.190,55700164977.0
120,08/08/2023,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,"2021/2022
","25.918 km
","R$ 172.664,00","R$ 115.029,00",R$ 155.190,68214626643.0
121,25/03/2023,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,"2021/2022
 ","25.918 km
 ","R$ 150.333,00","R$ 17.936,00",R$ 155.190,9400490117.0
122,22/04/2023,CHERY,TIGGO 8 TXS 7L 1.6,2022/2023 ,9.433 km ,"R$ 178.992,00","R$ 150.309,00",R$ 179.590,99917464499.0
123,04/04/2023,CHERY,TIGGO 8 TXS 7L 1.6,"2022/2023
 ","9.433 km
 ","R$ 157.894,00","R$ 106.688,00",R$ 179.590,18489452383.0
124,21/05/2023,CHERY,TIGGO 8 TXS 7L 1.6,"2022/2023
 ","9.433 km
 ","R$ 153.663,00","R$ 23.147,00",R$ 179.590,72371332784.0
125,07/12/2023,CHERY,TIGGO 8 TXS 7L 1.6,"2022/2023
 ","9.433 km
 ","R$ 168.763,00","R$ 131.923,00",R$ 179.590,30714862057.0
126,20/06/2023,CHERY,TIGGO 8 TXS 7L 1.6,"2022/2023
","9.433 km
","R$ 160.120,00","R$ 146.020,00",R$ 179.590,24910505114.0
127,06/07/2023,CHERY,TIGGO 8 TXS 7L 1.6,2022/2023,9.433 km,"R$ 161.040,00","R$ 108.557,00",R$ 179.590,77097263386.0
128,29/11/2023,CHERY,TIGGO 8 TXS 7L 1.6,"2022/2023
 ","9.433 km
 ","R$ 175.561,00","R$ 132.377,00",R$ 179.590,67684159415.0
129,21/05/2023,VOLVO,XC40 T4 MOMENTUM 2.0,"2020/2021
 ","34.307 km
 ","R$ 167.200,00","R$ 92.134,00",R$ 205.390,63173230755.0
130,29/12/2023,VOLVO,XC40 T4 MOMENTUM 2.0,2020/2021 ,34.307 km ,"R$ 213.608,00","R$ 195.136,00",R$ 205.390,27065436152.0
131,29/05/2023,VOLVO,XC40 T4 MOMENTUM 2.0,"2020/2021
 ","34.307 km
 ","R$ 210.666,00","R$ 178.873,00",R$ 205.390,8611825230.0
132,16/12/2023,VOLVO,XC40 T4 MOMENTUM 2.0,2020/2021,34.307 km,"R$ 210.948,00","R$ 177.059,00",R$ 205.390,51335057908.0
133,01/04/2023,VOLVO,XC40 T4 MOMENTUM 2.0,"2020/2021
 ","34.307 km
 ","R$ 219.938,00","R$ 198.852,00",R$ 205.390,99464517971.0
134,23/11/2023,VOLVO,XC40 T4 MOMENTUM 2.0,"2020/2021
","34.307 km
","R$ 211.916,00","R$ 197.919,00",R$ 205.390,51709805905.0
135,07/02/2023,VOLVO,XC40 T4 MOMENTUM 2.0,"2020/2021
 ","34.307 km
 ","R$ 67.869,00","R$ 62.005,00",R$ 205.390,70400682463.0
136,16/11/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","95.633 km
 ","R$ 72.282,00","R$ 54.604,00",R$ 47.990,21410866922.0
137,08/02/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","95.633 km
 ","R$ 72.747,00","R$ 60.768,00",R$ 47.990,631083846.0
138,14/09/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,2020/2020,95.633 km,"R$ 70.340,00","R$ 64.112,00",R$ 47.990,3300703642.0
139,30/05/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
","95.633 km
","R$ 68.199,00","R$ 50.130,00",R$ 47.990,92702512438.0
140,23/10/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","95.633 km
 ","R$ 69.796,00","R$ 53.158,00",R$ 47.990,69478695734.0
141,17/11/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,2020/2020 ,95.633 km ,"R$ 65.648,00","R$ 61.311,00",R$ 47.990,83268927630.0
142,29/04/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","95.633 km
 ","R$ 69.755,00","R$ 63.396,00",R$ 47.990,52379171851.0
143,05/10/2023,FIAT,MOBI LIKE 1.0,2021/2022 ,76.576 km ,"R$ 73.788,00","R$ 57.324,00",R$ 49.990,52888407638.0
144,14/02/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","53.547 km
 ","R$ 73.484,00","R$ 60.186,00",R$ 50.990,91277998518.0
145,21/03/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","53.547 km
 ","R$ 65.584,00","R$ 60.063,00",R$ 50.990,42131786671.0
146,18/06/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","53.547 km
 ","R$ 71.353,00","R$ 48.585,00",R$ 50.990,94833862612.0
147,15/01/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,2020/2020,53.547 km,"R$ 73.052,00","R$ 60.399,00",R$ 50.990,59510689988.0
148,07/05/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,2020/2020 ,53.547 km ,"R$ 69.008,00","R$ 64.195,00",R$ 50.990,25680081310.0
149,06/01/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","53.547 km
 ","R$ 67.001,00","R$ 60.487,00",R$ 50.990,99514343385.0
150,28/09/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
","53.547 km
","R$ 65.332,00","R$ 49.601,00",R$ 50.990,8256221170.0
151,26/06/2023,VOLKSWAGEN,GOL MPI 1.0 4P,2020/2021 ,81.826 km ,"R$ 67.627,00","R$ 47.868,00",R$ 52.290,20215069971.0
152,22/12/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","60.870 km
 ","R$ 68.834,00","R$ 46.596,00",R$ 52.490,95975972079.0
